memory,total_agents,ttl,active_agents,cpu_percent,event,agent_id,time_sec,mem_percent
,20,,20,0.0,stats_tick,,0.0,5.2
53,,10,,,agent_start,0,1756841514.1348643,
,20,,20,4.0,stats_tick,,5.0,6.6
,20,,20,0.0,stats_tick,,10.0,6.6
53,,10,,,agent_stop,0,1756841524.9409366,
148,,14,,,agent_start,1,1756841524.9714537,
,20,,19,9.0,stats_tick,,15.0,8.9
,20,,19,0.0,stats_tick,,20.0,8.9
,20,,19,0.0,stats_tick,,25.0,8.9
148,,14,,,agent_stop,1,1756841540.7165701,
124,,9,,,agent_start,2,1756841540.7896671,
,20,,18,1.5,stats_tick,,30.0,8.3
,20,,18,0.1,stats_tick,,35.0,8.3
124,,9,,,agent_stop,2,1756841550.0043294,
109,,6,,,agent_start,3,1756841550.060808,
,20,,17,1.1,stats_tick,,40.0,7.9
109,,6,,,agent_stop,3,1756841556.2170873,
111,,13,,,agent_start,4,1756841556.263272,
,20,,16,1.0,stats_tick,,45.0,7.9
,20,,16,0.0,stats_tick,,50.0,7.9
,20,,16,0.0,stats_tick,,55.0,7.9
111,,13,,,agent_stop,4,1756841569.411531,
105,,13,,,agent_start,5,1756841572.4605048,
,20,,15,1.0,stats_tick,,60.0,7.9
,20,,15,0.0,stats_tick,,65.0,7.9
,20,,15,0.2,stats_tick,,70.0,7.9
105,,13,,,agent_stop,5,1756841585.601348,
51,,14,,,agent_start,6,1756841585.6483018,
,20,,14,0.6,stats_tick,,75.0,6.6
,20,,14,0.0,stats_tick,,80.0,6.6
,20,,14,0.0,stats_tick,,85.0,6.6
51,,14,,,agent_stop,6,1756841599.7170877,
137,,7,,,agent_start,7,1756841599.7431653,
,20,,13,1.1,stats_tick,,90.0,8.7
137,,7,,,agent_stop,7,1756841606.942162,
68,,12,,,agent_start,8,1756841607.0015635,
,20,,12,0.8,stats_tick,,95.0,7.0
,20,,12,0.1,stats_tick,,100.0,7.0
68,,12,,,agent_stop,8,1756841619.0930846,
65,,12,,,agent_start,9,1756841619.1242814,
,20,,11,0.6,stats_tick,,105.1,6.9
,20,,11,0.0,stats_tick,,110.1,6.9
,20,,11,0.0,stats_tick,,115.1,6.9
65,,12,,,agent_stop,9,1756841631.213984,
,20,,10,0.2,stats_tick,,120.1,6.0
137,,9,,,agent_start,10,1756841634.2474298,
,20,,10,1.1,stats_tick,,125.1,8.6
137,,9,,,agent_stop,10,1756841643.4455936,
94,,8,,,agent_start,11,1756841643.5238523,
,20,,9,1.3,stats_tick,,130.1,7.6
,20,,9,0.1,stats_tick,,135.1,7.6
94,,8,,,agent_stop,11,1756841651.700281,
112,,9,,,agent_start,12,1756841651.740697,
,20,,8,0.9,stats_tick,,140.1,8.0
,20,,8,0.0,stats_tick,,145.1,8.0
112,,9,,,agent_stop,12,1756841660.8885448,
147,,5,,,agent_start,13,1756841660.9359288,
,20,,7,1.2,stats_tick,,150.1,8.9
147,,5,,,agent_stop,13,1756841666.1304493,
131,,6,,,agent_start,14,1756841666.1908984,
,20,,6,1.2,stats_tick,,155.1,8.5
131,,6,,,agent_stop,14,1756841672.3678648,
,20,,5,0.3,stats_tick,,160.1,6.5
54,,13,,,agent_start,15,1756841675.4237256,
,20,,5,0.4,stats_tick,,165.1,6.6
,20,,5,0.0,stats_tick,,170.1,6.6
54,,13,,,agent_stop,15,1756841688.495794,
120,,12,,,agent_start,16,1756841688.5212018,
,20,,4,0.9,stats_tick,,175.1,8.3
,20,,4,0.0,stats_tick,,180.1,8.3
,20,,4,0.1,stats_tick,,185.1,8.3
120,,12,,,agent_stop,16,1756841700.680328,
92,,8,,,agent_start,17,1756841700.7348182,
,20,,3,1.0,stats_tick,,190.1,7.6
92,,8,,,agent_stop,17,1756841708.8629966,
124,,8,,,agent_start,18,1756841708.9079,
,20,,2,1.2,stats_tick,,195.1,8.3
,20,,2,0.0,stats_tick,,200.1,8.3
124,,8,,,agent_stop,18,1756841717.099839,
134,,15,,,agent_start,19,1756841717.1646001,
,20,,1,1.3,stats_tick,,205.1,8.6
,20,,1,0.0,stats_tick,,210.1,8.6
,20,,1,0.0,stats_tick,,215.1,8.6
134,,15,,,agent_stop,19,1756841732.3629687,
,20,,0,0.3,stats_tick,,220.1,6.2
